task,n_demos,trial_id,seed,success,n_waypoints_executed,parse_error,execution_error
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,5,1005,False,10,,
reach_target,5,6,1006,False,7,,Step 7: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
reach_target,5,7,1007,False,10,,
reach_target,5,8,1008,False,10,,
reach_target,5,9,1009,False,9,,Step 9: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,True,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,5,1005,False,10,,
reach_target,5,6,1006,False,10,,
reach_target,5,7,1007,True,10,,
reach_target,5,8,1008,False,10,,
reach_target,5,9,1009,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,0,1000,True,10,,
reach_target,5,1,1001,False,9,,Step 9: InvalidActionError: A path could not be found because the target is outside of workspace.
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,5,1005,True,10,,
reach_target,5,6,1006,False,10,,
reach_target,5,7,1007,False,10,,
reach_target,5,8,1008,False,10,,
reach_target,5,9,1009,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,5,1005,False,10,,
reach_target,5,6,1006,True,10,,
reach_target,5,7,1007,True,10,,
reach_target,5,8,1008,False,10,,
reach_target,5,9,1009,False,7,,
reach_target,5,0,1000,True,9,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,True,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,True,9,,
reach_target,5,5,1005,False,10,,
reach_target,5,6,1006,False,10,,
reach_target,5,7,1007,False,10,,
reach_target,5,8,1008,False,10,,
reach_target,5,9,1009,False,10,,
reach_target,5,0,1000,True,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,True,9,,
reach_target,5,5,1005,True,10,,
reach_target,5,6,1006,True,10,,
reach_target,5,7,1007,False,10,,
reach_target,5,8,1008,True,10,,
reach_target,5,9,1009,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,True,10,,
reach_target,5,2,1002,True,7,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,5,1005,True,10,,
reach_target,5,6,1006,False,10,,
reach_target,5,7,1007,False,10,,
reach_target,5,8,1008,True,9,,
reach_target,5,9,1009,False,10,,
reach_target,5,10,1010,False,10,,
reach_target,5,11,1011,True,10,,
reach_target,5,12,1012,False,10,,
reach_target,5,13,1013,True,10,,
reach_target,5,14,1014,False,10,,
reach_target,5,15,1015,True,10,,
reach_target,5,16,1016,False,9,,Step 9: InvalidActionError: A path could not be found because the target is outside of workspace.
reach_target,5,17,1017,False,9,,
reach_target,5,18,1018,False,9,,Step 9: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
reach_target,5,19,1019,False,10,,
reach_target,5,20,1020,False,10,,
reach_target,5,21,1021,True,10,,
reach_target,5,22,1022,False,10,,
reach_target,5,23,1023,False,10,,
reach_target,5,24,1024,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,False,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,5,1005,False,10,,
reach_target,5,6,1006,False,10,,
reach_target,5,7,1007,True,10,,
reach_target,5,8,1008,True,10,,
reach_target,5,9,1009,False,10,,
reach_target,5,10,1010,True,10,,
reach_target,5,11,1011,True,10,,
reach_target,5,12,1012,False,10,,
reach_target,5,13,1013,False,10,,
reach_target,5,14,1014,False,10,,
reach_target,5,15,1015,True,10,,
reach_target,5,16,1016,False,10,,
reach_target,5,17,1017,False,10,,
reach_target,5,18,1018,False,10,,
reach_target,5,19,1019,True,9,,
reach_target,5,20,1020,False,10,,
reach_target,5,21,1021,False,10,,
reach_target,5,22,1022,False,10,,
reach_target,5,23,1023,True,10,,
reach_target,5,24,1024,True,9,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,False,10,,
reach_target,5,2,1002,False,10,,
reach_target,5,3,1003,True,9,,
reach_target,5,4,1004,True,9,,
reach_target,5,5,1005,False,10,,
reach_target,5,6,1006,True,10,,
reach_target,5,7,1007,False,10,,
reach_target,5,8,1008,False,10,,
reach_target,5,9,1009,False,10,,
reach_target,5,10,1010,True,10,,
reach_target,5,11,1011,False,10,,
reach_target,5,12,1012,False,9,,
reach_target,5,13,1013,True,10,,
reach_target,5,14,1014,False,10,,
reach_target,5,15,1015,False,9,,
reach_target,5,16,1016,False,10,,
reach_target,5,17,1017,False,10,,
reach_target,5,18,1018,False,10,,
reach_target,5,19,1019,False,10,,
reach_target,5,20,1020,False,9,,
reach_target,5,21,1021,False,3,,Step 3: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
reach_target,5,22,1022,False,10,,
reach_target,5,23,1023,False,10,,
reach_target,5,24,1024,False,10,,
reach_target,5,0,1000,False,10,,
reach_target,5,1,1001,True,10,,
reach_target,5,2,1002,True,10,,
reach_target,5,3,1003,True,10,,
reach_target,5,4,1004,False,10,,
reach_target,5,5,1005,True,9,,
reach_target,5,6,1006,False,10,,
reach_target,5,7,1007,True,9,,
reach_target,5,8,1008,True,9,,
reach_target,5,9,1009,True,10,,
reach_target,5,10,1010,True,10,,
reach_target,5,11,1011,False,10,,
reach_target,5,12,1012,True,9,,
reach_target,5,13,1013,True,10,,
reach_target,5,14,1014,True,8,,
reach_target,5,15,1015,True,10,,
reach_target,5,16,1016,True,10,,
reach_target,5,17,1017,True,10,,
reach_target,5,18,1018,False,10,,
reach_target,5,19,1019,True,10,,
reach_target,5,20,1020,False,10,,
reach_target,5,21,1021,False,10,,
reach_target,5,22,1022,False,10,,
reach_target,5,23,1023,False,9,,Step 9: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
reach_target,5,24,1024,True,10,,
