task,n_demos,trial_id,seed,success,n_waypoints_executed,parse_error,execution_error
push_button,1,16,1016,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,1,17,1017,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,1,18,1018,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,1,19,1019,True,10,,
push_button,1,20,1020,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,1,21,1021,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,1,22,1022,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,1,23,1023,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,1,24,1024,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,2,0,1000,True,10,,
push_button,2,1,1001,True,10,,
push_button,2,2,1002,True,10,,
push_button,2,3,1003,True,10,,
push_button,2,4,1004,True,10,,
push_button,2,5,1005,False,10,,
push_button,2,6,1006,True,9,,
push_button,2,7,1007,True,10,,
push_button,2,8,1008,True,10,,
push_button,2,9,1009,True,10,,
push_button,2,10,1010,False,5,,Step 5: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,2,11,1011,True,10,,
push_button,2,12,1012,False,1,,Step 1: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,2,13,1013,True,10,,
push_button,2,14,1014,True,10,,
push_button,2,15,1015,False,1,,Step 1: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,2,16,1016,False,10,,
push_button,2,17,1017,False,10,,
push_button,2,18,1018,True,10,,
push_button,2,19,1019,True,10,,
push_button,2,20,1020,True,10,,
push_button,2,21,1021,False,10,,
push_button,2,22,1022,True,10,,
push_button,2,23,1023,True,10,,
push_button,2,24,1024,True,10,,
push_button,5,0,1000,True,10,,
push_button,5,1,1001,True,10,,
push_button,5,2,1002,True,10,,
push_button,5,3,1003,True,10,,
push_button,5,4,1004,True,10,,
push_button,5,5,1005,True,10,,
push_button,5,6,1006,True,10,,
push_button,5,7,1007,False,1,,Step 1: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,5,8,1008,False,10,,
push_button,5,9,1009,True,10,,
push_button,5,10,1010,True,10,,
push_button,5,11,1011,True,10,,
push_button,5,12,1012,True,10,,
push_button,5,13,1013,False,2,,Step 2: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
push_button,5,14,1014,True,10,,
push_button,5,15,1015,True,10,,
push_button,5,16,1016,True,10,,
push_button,5,17,1017,True,10,,
push_button,5,18,1018,True,10,,
push_button,5,19,1019,True,10,,
push_button,5,20,1020,True,10,,
push_button,5,21,1021,False,10,,
push_button,5,22,1022,True,10,,
push_button,5,23,1023,True,10,,
push_button,5,24,1024,True,10,,
push_button,10,0,1000,True,10,,
push_button,10,1,1001,True,10,,
push_button,10,2,1002,True,10,,
push_button,10,3,1003,True,10,,
push_button,10,4,1004,True,10,,
push_button,10,5,1005,False,10,,
push_button,10,6,1006,True,10,,
push_button,10,7,1007,True,10,,
push_button,10,8,1008,False,10,,
push_button,10,9,1009,True,10,,
push_button,10,10,1010,True,10,,
push_button,10,11,1011,True,10,,
push_button,10,12,1012,True,10,,
push_button,10,13,1013,True,10,,
push_button,10,14,1014,True,10,,
push_button,10,15,1015,False,10,,
push_button,10,16,1016,True,10,,
push_button,10,17,1017,True,10,,
push_button,10,18,1018,True,10,,
push_button,10,19,1019,True,10,,
push_button,10,20,1020,True,10,,
push_button,10,21,1021,True,10,,
push_button,10,22,1022,True,10,,
push_button,10,23,1023,True,10,,
push_button,10,24,1024,True,10,,
push_button,20,0,1000,True,10,,
push_button,20,1,1001,True,10,,
push_button,20,2,1002,True,10,,
push_button,20,3,1003,True,10,,
push_button,20,4,1004,True,10,,
push_button,20,5,1005,True,10,,
push_button,20,6,1006,True,10,,
push_button,20,7,1007,False,10,,
push_button,20,8,1008,True,10,,
push_button,20,9,1009,True,10,,
push_button,20,10,1010,True,10,,
push_button,20,11,1011,True,10,,
push_button,20,12,1012,True,10,,
push_button,20,13,1013,True,10,,
push_button,20,14,1014,True,10,,
push_button,20,15,1015,True,10,,
push_button,20,16,1016,True,10,,
push_button,20,17,1017,True,10,,
push_button,20,18,1018,False,10,,
push_button,20,19,1019,True,10,,
push_button,20,20,1020,True,10,,
push_button,20,21,1021,True,10,,
push_button,20,22,1022,True,10,,
push_button,20,23,1023,True,10,,
push_button,20,24,1024,True,10,,
pick_up_cup,1,0,1000,False,10,,
pick_up_cup,1,1,1001,True,8,,
pick_up_cup,1,2,1002,True,9,,
pick_up_cup,1,3,1003,False,10,,
pick_up_cup,1,4,1004,False,10,,
pick_up_cup,1,5,1005,False,10,,
pick_up_cup,1,6,1006,False,10,,
pick_up_cup,1,7,1007,False,10,,
pick_up_cup,1,8,1008,True,9,,
pick_up_cup,1,9,1009,False,10,,
pick_up_cup,1,10,1010,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
pick_up_cup,1,11,1011,False,10,,
pick_up_cup,1,12,1012,False,10,,
pick_up_cup,1,13,1013,False,10,,
pick_up_cup,1,14,1014,False,10,,
pick_up_cup,1,15,1015,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
pick_up_cup,1,16,1016,False,10,,
pick_up_cup,1,17,1017,True,9,,
pick_up_cup,1,18,1018,False,10,,
pick_up_cup,1,19,1019,False,10,,
pick_up_cup,1,20,1020,False,10,,
pick_up_cup,1,21,1021,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
pick_up_cup,1,22,1022,False,10,,
pick_up_cup,1,23,1023,False,10,,
pick_up_cup,1,24,1024,False,10,,
pick_up_cup,2,0,1000,False,10,,
pick_up_cup,2,1,1001,False,10,,
pick_up_cup,2,2,1002,False,10,,
pick_up_cup,2,3,1003,False,10,,
pick_up_cup,2,4,1004,False,10,,
pick_up_cup,2,5,1005,False,10,,
pick_up_cup,2,6,1006,False,10,,
pick_up_cup,2,7,1007,True,9,,
pick_up_cup,2,8,1008,True,9,,
pick_up_cup,2,9,1009,False,10,,
pick_up_cup,2,10,1010,False,10,,
pick_up_cup,2,11,1011,False,10,,
pick_up_cup,2,12,1012,False,10,,
pick_up_cup,2,13,1013,True,9,,
pick_up_cup,2,14,1014,False,10,,
pick_up_cup,2,15,1015,False,10,,
pick_up_cup,2,16,1016,False,10,,
pick_up_cup,2,17,1017,False,10,,
pick_up_cup,2,18,1018,True,9,,
pick_up_cup,2,19,1019,True,9,,
pick_up_cup,2,20,1020,False,10,,
pick_up_cup,2,21,1021,False,2,,Step 2: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
pick_up_cup,2,22,1022,False,10,,
pick_up_cup,2,23,1023,False,10,,
pick_up_cup,2,24,1024,False,10,,
pick_up_cup,5,0,1000,False,10,,
pick_up_cup,5,1,1001,False,1,,Step 1: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
pick_up_cup,5,2,1002,False,10,,
pick_up_cup,5,3,1003,True,9,,
pick_up_cup,5,4,1004,True,9,,
pick_up_cup,5,5,1005,False,10,,
pick_up_cup,5,6,1006,False,10,,
pick_up_cup,5,7,1007,True,9,,
pick_up_cup,5,8,1008,True,9,,
pick_up_cup,5,9,1009,True,9,,
pick_up_cup,5,10,1010,False,10,,
pick_up_cup,5,11,1011,True,9,,
pick_up_cup,5,12,1012,True,9,,
pick_up_cup,5,13,1013,True,9,,
pick_up_cup,5,14,1014,True,9,,
pick_up_cup,5,15,1015,False,10,,
pick_up_cup,5,16,1016,True,9,,
pick_up_cup,5,17,1017,False,10,,
